(AWG)	Diameter	(CM)		Area		Diameter
		Mil						(mm^2)		(mm)
0000	460			211,592		107			11.7
000		410			167,800		85.0		10.4
00		365			133,072		67.4		9.27
0		325			105,531		53.5		8.25
1		289			83,690		42.4		7.35
2		258			66,369		33.6		6.54
3		229			52,633		26.7		5.83
4		204			41,740		21.2		5.19
5		182			33,101		16.8		4.62
6		162			26,251		13.3		4.12
7		144			20,818		10.5		3.67
8		128			16,509		8.37		3.26
9		114			13,092		6.63		2.91
10		102			10,383		5.26		2.59
11		90.7		8,234		4.17		2.31
12		80.8		6,530		3.31		2.05
13		72.0		5,178		2.62		1.83
14		64.1		4,107		2.08		1.63
15		57.1		3,257		1.65		1.45
16		50.8		2,583		1.31		1.29
17		45.3		2,048		1.04		1.15
20		32.0		1,022		0.518		0.812
21		28.5		810.1		0.410		0.723
22		25.3		642.4		0.326		0.644
23		22.6		509.5		0.258		0.573
24		20.1		404.0		0.205		0.511
25		17.9		320.4		0.162		0.455
